"","country_long","year","foreign","native","total","country_short"
"1","Belgium","2006",NA,NA,10511382,"BE"
"2","Belgium","2007",NA,NA,10584534,"BE"
"3","Belgium","2008",NA,NA,10666866,"BE"
"4","Belgium","2009",1443937,9308764,10753080,"BE"
"5","Belgium","2010",1503806,9335651,10839905,"BE"
"6","Belgium","2011",1628793,9371274,11000638,"BE"
"7","Belgium","2012",1677737,9396045,11075889,"BE"
"8","Belgium","2013",1722265,9413555,11137974,"BE"
"9","Belgium","2014",1748748,9430006,11180840,"BE"
"10","Belgium","2015",1783488,9451194,11237274,"BE"
"11","Belgium","2016",1845631,9461830,11311117,"BE"
"12","Belgium","2017",1876726,9470917,11351727,"BE"
"13","Belgium","2018",1916272,9478126,11398589,"BE"
"14","Belgium","2019",1968060,9482503,11455519,"BE"
"15","Belgium","2020",2027763,9490287,11522440,"BE"
"16","Belgium","2021",2065727,9484082,11554767,"BE"
"17","Belgium","2022",2119691,9491911,11617623,"BE"
"18","Bulgaria","2006",NA,NA,NA,"BG"
"19","Bulgaria","2007",NA,NA,NA,"BG"
"20","Bulgaria","2008",NA,NA,NA,"BG"
"21","Bulgaria","2009",NA,NA,NA,"BG"
"22","Bulgaria","2010",NA,NA,NA,"BG"
"23","Bulgaria","2011",78621,7290666,7369431,"BG"
"24","Bulgaria","2012",85076,7241924,7327224,"BG"
"25","Bulgaria","2013",96113,7188273,7284552,"BG"
"26","Bulgaria","2014",109239,7135781,7245677,"BG"
"27","Bulgaria","2015",123803,7077389,7202198,"BG"
"28","Bulgaria","2016",136421,7015969,7153784,"BG"
"29","Bulgaria","2017",145390,6954776,7101859,"BG"
"30","Bulgaria","2018",156505,6891535,7050034,"BG"
"31","Bulgaria","2019",171993,6825767,7000039,"BG"
"32","Bulgaria","2020",188729,6760262,6951482,"BG"
"33","Bulgaria","2021",201940,6711929,6916548,"BG"
"34","Bulgaria","2022",220843,6615195,6838937,"BG"
"35","Czechia","2006",NA,NA,10251079,"CZ"
"36","Czechia","2007",NA,NA,10287189,"CZ"
"37","Czechia","2008",NA,NA,10381130,"CZ"
"38","Czechia","2009",384161,10083377,10467542,"CZ"
"39","Czechia","2010",398493,10108316,10506813,"CZ"
"40","Czechia","2011",387971,10144799,10532770,"CZ"
"41","Czechia","2012",390843,10114458,10505445,"CZ"
"42","Czechia","2013",387337,10128663,10516125,"CZ"
"43","Czechia","2014",396156,10116263,10512419,"CZ"
"44","Czechia","2015",416454,10121821,10538275,"CZ"
"45","Czechia","2016",433290,10120553,10553843,"CZ"
"46","Czechia","2017",465056,10113764,10578820,"CZ"
"47","Czechia","2018",467580,10142475,10610055,"CZ"
"48","Czechia","2019",507051,10142749,10649800,"CZ"
"49","Czechia","2020",533639,10160300,10693939,"CZ"
"50","Czechia","2021",409220,10085616,10494836,"CZ"
"51","Czechia","2022",453424,10063283,10516707,"CZ"
"52","Denmark","2006",NA,NA,5427459,"DK"
"53","Denmark","2007",NA,NA,5447084,"DK"
"54","Denmark","2008",NA,NA,5475751,"DK"
"55","Denmark","2009",486003,5024663,5511451,"DK"
"56","Denmark","2010",500772,5033226,5534738,"DK"
"57","Denmark","2011",517230,5042684,5560628,"DK"
"58","Denmark","2012",531540,5048302,5580516,"DK"
"59","Denmark","2013",548411,5053578,5602628,"DK"
"60","Denmark","2014",569596,5056810,5627235,"DK"
